date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:16:59	1197/1197	---M--	200	added ('OK')	text/xml	etag:%224ad-47c4559ade980%22	http://docbook.sourceforge.net/release/xsl/1.76.1/params/margin.note.title.properties.xml	/home/annb/websites/DocBook/docbook.sourceforge.net/release/xsl/1.76.1/params/margin.note.title.properties.xml	(from http://docbook.sourceforge.net/release/xsl/1.76.1/params/)
09:16:59	1197/1197	---M--	200	added ('OK')	text/xml	etag:%224ad-47c45599ea740%22	http://docbook.sourceforge.net/release/xsl/1.76.1/params/runinhead.title.end.punct.xml	/home/annb/websites/DocBook/docbook.sourceforge.net/release/xsl/1.76.1/params/runinhead.title.end.punct.xml	(from http://docbook.sourceforge.net/release/xsl/1.76.1/params/)
09:16:59	1202/1202	---M--	200	added ('OK')	text/xml	etag:%224b2-47c45599ea740%22	http://docbook.sourceforge.net/release/xsl/1.76.1/params/othercredit.like.author.enabled.xml	/home/annb/websites/DocBook/docbook.sourceforge.net/release/xsl/1.76.1/params/othercredit.like.author.enabled.xml	(from http://docbook.sourceforge.net/release/xsl/1.76.1/params/)
09:17:00	1203/1203	---M--	200	added ('OK')	text/xml	etag:%224b3-47c45599ea740%22	http://docbook.sourceforge.net/release/xsl/1.76.1/params/man.th.extra1.suppress.xml	/home/annb/websites/DocBook/docbook.sourceforge.net/release/xsl/1.76.1/params/man.th.extra1.suppress.xml	(from http://docbook.sourceforge.net/release/xsl/1.76.1/params/)
09:17:00	1210/1210	---M--	200	added ('OK')	text/xml	etag:%224ba-47c45599ea740%22	http://docbook.sourceforge.net/release/xsl/1.76.1/params/slide.title.font.family.xml	/home/annb/websites/DocBook/docbook.sourceforge.net/release/xsl/1.76.1/params/slide.title.font.family.xml	(from http://docbook.sourceforge.net/release/xsl/1.76.1/params/)
09:17:00	1210/1210	---M--	200	added ('OK')	text/xml	etag:%224ba-47c45599ea740%22	http://docbook.sourceforge.net/release/xsl/1.76.1/params/textdata.default.encoding.xml	/home/annb/websites/DocBook/docbook.sourceforge.net/release/xsl/1.76.1/params/textdata.default.encoding.xml	(from http://docbook.sourceforge.net/release/xsl/1.76.1/params/)
09:17:01	1210/1210	---M--	200	added ('OK')	text/xml	etag:%224ba-47c45599ea740%22	http://docbook.sourceforge.net/release/xsl/1.76.1/params/toc.row.height.xml	/home/annb/websites/DocBook/docbook.sourceforge.net/release/xsl/1.76.1/params/toc.row.height.xml	(from http://docbook.sourceforge.net/release/xsl/1.76.1/params/)
09:17:01	1211/1211	---M--	200	added ('OK')	text/xml	etag:%224bb-47c4559ade980%22	http://docbook.sourceforge.net/release/xsl/1.76.1/params/callout.list.table.xml	/home/annb/websites/DocBook/docbook.sourceforge.net/release/xsl/1.76.1/params/callout.list.table.xml	(from http://docbook.sourceforge.net/release/xsl/1.76.1/params/)
09:17:01	1215/1215	---M--	200	added ('OK')	text/xml	etag:%224bf-47c45599ea740%22	http://docbook.sourceforge.net/release/xsl/1.76.1/params/man.funcsynopsis.style.xml	/home/annb/websites/DocBook/docbook.sourceforge.net/release/xsl/1.76.1/params/man.funcsynopsis.style.xml	(from http://docbook.sourceforge.net/release/xsl/1.76.1/params/)
09:17:01	1217/1217	---M--	200	added ('OK')	text/xml	etag:%224c1-47c45599ea740%22	http://docbook.sourceforge.net/release/xsl/1.76.1/params/use.embed.for.svg.xml	/home/annb/websites/DocBook/docbook.sourceforge.net/release/xsl/1.76.1/params/use.embed.for.svg.xml	(from http://docbook.sourceforge.net/release/xsl/1.76.1/params/)
